date,tmean_C
1989-08-12,25.5
1989-08-13,26.2
1989-08-14,25.9
1989-08-15,25.6
1989-08-16,25.6
1989-08-17,24.7
1989-08-18,25.3
1989-08-19,25.7
1989-08-20,25.5
1989-08-21,26.1
1989-08-22,25.9
1989-08-23,25.5
1989-08-24,25.6
1989-08-25,24.3
1989-08-26,23.7
1989-08-27,24.2
1989-08-28,26.4
1989-08-29,25.4
1989-08-30,25.2
1989-08-31,26.5
1990-08-01,25.7
1990-08-02,27.1
1990-08-03,27.3
1990-08-04,27.0
1990-08-05,28.0
1990-08-06,28.5
1990-08-07,29.5
1990-08-08,28.9
1990-08-09,27.0
1990-08-10,25.9
1990-08-11,27.5
1990-08-12,27.5
1990-08-13,27.1
1990-08-14,27.3
1990-08-15,27.1
1990-08-16,27.1
1990-08-17,27.1
1990-08-18,25.9
1990-08-19,25.1
1990-08-20,26.3
1990-08-21,27.3
1990-08-22,27.3
1990-08-23,28.2
1990-08-24,29.3
1990-08-25,27.8
1990-08-26,26.7
1990-08-27,25.8
1990-08-28,25.0
1990-08-29,24.9
1990-08-30,25.7
1990-08-31,26.9
1991-08-01,28.7
1991-08-02,28.8
1991-08-03,28.2
1991-08-04,24.8
1991-08-05,21.8
1991-08-06,21.3
1991-08-07,22.4
1991-08-08,24.7
1991-08-09,24.1
1991-08-10,23.3
1991-08-11,24.9
1991-08-12,25.3
1991-08-13,24.6
1991-08-14,23.2
1991-08-15,22.4
1991-08-16,21.8
1991-08-17,22.1
1991-08-18,23.7
1991-08-19,25.5
1991-08-20,24.5
1991-08-21,25.7
1991-08-22,26.9
1991-08-23,27.4
1991-08-24,22.7
1991-08-25,21.7
1991-08-26,23.4
1991-08-27,22.4
1991-08-28,21.3
1991-08-29,23.4
1991-08-30,25.6
1991-08-31,26.3
1992-08-01,26.5
1992-08-02,21.0
1992-08-03,20.8
1992-08-04,19.5
1992-08-05,22.3
1992-08-06,25.5
1992-08-07,26.1
1992-08-08,25.9
1992-08-09,26.1
1992-08-10,25.6
1992-08-11,24.5
1992-08-12,24.0
1992-08-13,25.0
1992-08-14,25.7
1992-08-15,25.8
1992-08-16,26.7
1992-08-17,25.8
1992-08-18,25.8
1992-08-19,25.4
1992-08-20,25.8
1992-08-21,25.1
1992-08-22,25.8
1992-08-23,26.2
1992-08-24,27.0
