Date,Depth,Temperature,pH,Eh (mV vs. Ag/AgCl),EC (É S/cm),DO (mg/L),Eh (mV vs. SHE),log10 O2 (M),log O2 (M)
2023.10.13,10,16.5,6.73,374.5,122.3,0.65,0.5707,-4.692236622,-10.8042741
2023.10.13,5,16.5,6.7,390.2,122,0.73,0.5864,-4.641827118,-10.68820193
2023.10.18,B,16.6,6.72,-215,111,0.18,-0.00312,-5.249877473,-12.08828961
2023.10.18,S,16.8,6.78,332.2,113.5,0.59,0.54394,-4.734297967,-10.90112392
2023.10.19,40,17,6.62,132.6,119.4,0,0.32845,ND,ND
2023.10.19,35,17,6.66,251.8,114.6,0,0.44765,ND,ND
2023.10.19,30,17,6.66,315.8,114.6,0,0.51165,ND,ND
2023.10.19,25,17,6.65,334,114.6,0,0.52985,ND,ND
2023.10.19,20,17.1,6.65,349.2,115,0.03,0.54498,-6.028028724,-13.88004908
2023.10.19,15,17.1,6.65,352.4,114.8,0.09,0.54818,-5.550907469,-12.78143679
2023.10.19,10,17.5,6.73,354.7,117.5,0.21,0.5502,-5.182930684,-11.93413893
2023.10.19,5,18,6.71,369.7,119.2,1.41,0.56485,-4.355930866,-10.02990148
2023.10.25,B,15.4,6.67,-202.8,127,0.17,0.00992,-5.274701057,-12.14544802
2023.10.25,S,15.9,6.75,371.5,126.7,1.41,0.58387,-4.355930866,-10.02990148
2023.10.26,45,15.2,6.45,204.6,126.9,0,0.40171,ND,ND
2023.10.26,40,15.1,6.47,259.3,115.1,0.01,0.45648,-6.505149978,-14.97866137
2023.10.26,35,15.1,6.49,287.3,115.2,0.06,0.48448,-5.726998728,-13.1869019
2023.10.26,30,15,6.49,327.6,114.8,0.08,0.52485,-5.602059991,-12.89921983
2023.10.26,25,15,6.49,337.7,114.8,0.2,0.53495,-5.204119983,-11.98292909
2023.10.26,20,15.1,6.5,340.1,114.8,0.25,0.53728,-5.10720997,-11.75978554
2023.10.26,15,15.1,6.54,351.7,114.7,0.47,0.54888,-4.83305212,-11.12851377
2023.10.26,10,15.4,6.56,364.5,117.2,1.13,0.56147,-4.452071535,-10.25127355
2023.10.26,5,15.5,6.55,366.6,117.8,1.69,0.5635,-4.277263274,-9.848762653
2023.11.01,B,14.4,6.8,186.7,131.2,0.06,0.40012,-5.726998728,-13.1869019
2023.11.01,S,15.2,6.81,381.5,126.7,1.02,0.59436,-4.496549807,-10.35368855
2023.11.02,40,14.6,6.45,52.3,153.4,0,0.24983,ND,ND
2023.11.02,35,14.4,6.46,83.4,128.2,0,0.28107,ND,ND
2023.11.02,30,14.4,6.48,110.8,128,0,0.30847,ND,ND
2023.11.02,25,14.4,6.51,317.7,127.9,0.01,0.51537,-6.505149978,-14.97866137
2023.11.02,20,14.4,6.51,324.7,127.8,0.04,0.52237,-5.903089987,-13.59236701
2023.11.02,15,14.5,6.5,331.4,127.7,0.07,0.529,-5.660051938,-13.03275122
2023.11.02,10,14.7,6.49,342.1,127.4,0.33,0.53956,-4.986636038,-11.48215381
2023.11.02,5,14.9,6.48,349.4,127.6,0.62,0.54672,-4.712758289,-10.85152698
2023.11.08,B,15.7,6.26,-23.7,133.3,0.04,0.18881,-5.903089987,-13.59236701
2023.11.08,S,15.6,6.59,330.8,105.7,2.39,0.54338,-4.126752077,-9.502197816
2023.11.09,40,15.3,6.56,160.7,138.4,0,0.35774,ND,ND
2023.11.09,35,15.2,6.56,210.9,122.8,0,0.40801,ND,ND
2023.11.09,30,15.2,6.57,274.3,121.2,0,0.47141,ND,ND
2023.11.09,25,15.3,6.58,286.5,122.1,0.03,0.48354,-6.028028724,-13.88004908
2023.11.09,20,15.2,6.58,310,119.6,0.02,0.50711,-6.204119983,-14.28551419
2023.11.09,15,15.3,6.59,341.2,119.7,0.08,0.53824,-5.602059991,-12.89921983
2023.11.09,10,15.5,6.59,347.3,120.9,0.36,0.5442,-4.948847478,-11.39514243
2023.11.09,5,15.9,6.6,357.8,119.7,1.5,0.55442,-4.329058719,-9.968026074
2023.11.15,B,11.2,6.56,,124.3,0.15,"(215.66 + """")/1000",-5.329058719,-12.27061117
2023.11.15,S,11.3,6.55,378.3,124.6,0.27,0.59389,-5.073786214,-11.6828245
2023.11.16,40,11.6,6.66,110.5,132.5,0,0.31013,ND,ND
2023.11.16,35,11.4,6.66,191.1,129,0,0.39087,ND,ND
2023.11.16,30,11.4,6.63,340.6,127,0,0.54037,ND,ND
2023.11.16,25,11.3,6.63,352,125.9,0.07,0.55184,-5.660051938,-13.03275122
2023.11.16,20,11.4,6.64,353.4,125.8,0.11,0.55317,-5.463757293,-12.58076609
2023.11.16,15,11.4,6.64,356.8,126.2,0.28,0.55657,-5.057991947,-11.64645686
2023.11.16,10,11.6,6.69,374.5,128.5,0.59,0.57413,-4.734297967,-10.90112392
2023.11.16,5,11.7,6.66,385.7,129.7,1.41,0.58526,-4.355930866,-10.02990148
2023.11.22,B,10.4,6.46,316.8,118.1,0.02,0.53302,-6.204119983,-14.28551419
2023.11.22,S,10.6,6.49,380.4,118.2,0.22,0.59648,-5.162727297,-11.88761891
2023.11.24,40,11.9,6.55,62,122.4,0,0.26142,ND,ND
2023.11.24,35,11.9,6.53,73.2,121.2,0,0.27262,ND,ND
2023.11.24,30,11.9,6.53,232.6,121.1,0,0.43202,ND,ND
2023.11.24,25,11.9,6.53,283.6,121.1,0.03,0.48302,-6.028028724,-13.88004908
2023.11.24,20,11.9,6.53,333.6,121.1,0.07,0.53302,-5.660051938,-13.03275122
2023.11.24,15,12.1,6.57,358.1,121.4,0.45,0.55738,-4.851937465,-11.17199888
2023.11.24,10,12.1,6.67,365.4,121.5,1.77,0.56468,-4.257176712,-9.802511635
2023.11.24,5,12.3,6.65,368.2,113.8,2.53,0.56734,-4.102029457,-9.445271879
2023.11.29,B,10,6.55,90.4,130.4,0.29,0.3069,-5.04275198,-11.61136554
2023.11.29,S,10,6.52,371.8,129.7,1.02,0.5883,-4.496549807,-10.35368855
2023.11.30,40,10.1,6.42,182.2,132.2,0,0.38288,ND,ND
2023.11.30,35,10,6.49,326.9,131,0.75,0.52765,-4.630088715,-10.66117325
2023.11.30,30,10,6.5,332.9,131,0.87,0.53365,-4.565630726,-10.51275325
2023.11.30,25,10,6.49,339.6,130.8,0.89,0.54035,-4.555759972,-10.490025
2023.11.30,20,10,6.49,345.3,130.8,0.88,0.54605,-4.560667306,-10.50132455
2023.11.30,15,10,6.5,350.3,130.6,0.87,0.55105,-4.565630726,-10.51275325
2023.11.30,10,10,6.49,351,130.6,0.9,0.55175,-4.550907469,-10.4788517
2023.11.30,5,10,6.47,353.5,130.8,0.99,0.55425,-4.509514784,-10.38354152
2023.12.06,B,9,6.48,135.1,149.6,0.03,0.3523,-6.028028724,-13.88004908
2023.12.06,S,9,6.58,363.8,138.5,1.6,0.581,-4.301029996,-9.903487553
2023.12.13,B,11.5,6.28,43.1,247,0,0.25855,ND,ND
2023.12.13,S,11.2,6.66,348.4,157,0.05,0.56406,-5.806179974,-13.36922346
2023.12.14,40,9.7,6.46,57.3,174.8,0,0.25826,ND,ND
2023.12.14,35,9.6,6.48,114.2,168.5,0,0.31523,ND,ND
2023.12.14,30,9.6,6.48,153.1,168.4,0,0.35413,ND,ND
2023.12.14,25,9.6,6.5,185.9,168.2,0,0.38693,ND,ND
2023.12.14,20,9.6,6.5,221.9,167.8,0,0.42293,ND,ND
2023.12.14,15,9.6,6.49,264.3,167.3,0,0.46533,ND,ND
2023.12.14,10,9.6,6.5,283.8,167,0.09,0.48483,-5.550907469,-12.78143679
2023.12.14,5,9.8,6.47,316.7,166,0.37,0.51759,-4.936948254,-11.36774346
2023.12.20,B,7.9,6.67,162.8,177,0,0.38077,ND,ND
2023.12.20,S,8,6.79,352.9,174.3,1.67,0.5708,-4.282433507,-9.860667555
2023.12.27,B,6.6,6.59,191.3,185.2,0.73,0.41018,-4.641827118,-10.68820193
2023.12.27,S,6.7,6.66,353.4,184.4,1.67,0.57221,-4.282433507,-9.860667555
2023.12.28,40,6.3,6.8,279.3,178.1,0.54,0.48264,-4.772756218,-10.98967732
2023.12.28,35,6.2,6.82,319.4,177.9,0.7,0.52281,-4.660051938,-10.73016613
2023.12.28,30,6.2,6.83,322,177.8,0.74,0.52541,-4.635918259,-10.67459627
2023.12.28,25,6.2,6.83,329.8,177.8,0.72,0.53321,-4.647817482,-10.70199525
2023.12.28,20,6.2,6.83,332.3,177.6,0.87,0.53571,-4.565630726,-10.51275325
2023.12.28,15,6.2,6.83,336,177.4,1.11,0.53941,-4.459827,-10.26913117
2023.12.28,10,6.2,6.82,337.6,177.4,1.21,0.54101,-4.422364608,-10.18287082
2023.12.28,5,6.6,6.8,342.3,176.8,1.45,0.54543,-4.343781976,-10.00192763
2024.01.04,B,8.1,6.89,257.9,192.1,0.69,0.47573,-4.666300888,-10.74455486
2024.01.04,S,8.4,6.81,358,179,4.06,0.57562,-3.896623945,-8.972308208
2024.01.10,B,5.1,6.54,331.2,188.5,2.71,0.55113,-4.072180687,-9.376542547
2024.01.10,S,5,6.62,349.9,187.7,4.31,0.5699,-3.870672708,-8.912553278
2024.01.12,40,6.4,6.6,226.5,189.6,1.31,0.42977,-4.387878683,-10.10346404
2024.01.12,35,6.2,6.75,326.2,188.9,3.25,0.52961,-3.993266617,-9.194836185
2024.01.12,30,6.1,6.77,330.9,188.6,3.53,0.53438,-3.957375273,-9.112193311
2024.01.12,25,6.2,6.91,333,188.5,4.48,0.53641,-3.853871964,-8.873868135
2024.01.12,20,6.2,6.91,336.6,188.4,5.46,0.54001,-3.767957336,-8.676042392
2024.01.12,15,6.2,6.91,340.5,188.1,6.22,0.54391,-3.711359594,-8.545721275
2024.01.12,10,6.3,6.92,346.6,187.8,6.69,0.54994,-3.679723861,-8.472877308
2024.01.12,5,6.6,6.87,351.1,187.1,6.62,0.55423,-3.684291989,-8.483395812
2024.01.17,B,4.9,6.7,188,190.2,3.56,0.40807,-3.95369998,-9.103730637
2024.01.17,S,4.9,6.77,320.5,189.9,6.99,0.54057,-3.660672803,-8.429010626
2024.01.24,B,5,6.54,334.7,213,1.57,0.5547,-4.309250326,-9.922415562
2024.01.24,S,4.8,6.62,359.5,213,2.06,0.57964,-4.191282758,-9.650785199
2024.01.25,45,4.6,6.51,340.7,213,3.69,0.56098,-3.938123612,-9.067864724
2024.01.25,40,4.6,6.54,342.8,213,3.73,0.56308,-3.933441147,-9.057082948
2024.01.25,35,4.5,6.55,343.6,213,3.75,0.56395,-3.931118711,-9.051735342
2024.01.25,30,4.5,6.55,344.8,213,3.77,0.56515,-3.928808628,-9.04641618
2024.01.25,25,4.5,6.56,349.3,213,3.79,0.56965,-3.926510768,-9.041125163
2024.01.25,20,4.4,6.58,353.4,213,3.75,0.57382,-3.931118711,-9.051735342
2024.01.25,15,4.5,6.58,358.9,212,3.81,0.57925,-3.924225003,-9.035861993
2024.01.25,10,4.5,6.58,366.2,212,3.72,0.58655,-3.934607038,-9.059767513
2024.01.25,5,4.8,6.58,365.5,211,3.79,0.58564,-3.926510768,-9.041125163
2024.01.31,B,6.8,6.73,264,246,2.04,0.48274,-4.195519811,-9.660541374
2024.01.31,S,6.8,6.92,352.1,231,6.09,0.57084,-3.720532686,-8.5668431
2024.02.07,B,5.8,6.88,357.1,200,3.03,0.57654,-4.02370735,-9.264928562
2024.02.07,S,5.8,7,363.9,183.6,3.72,0.58334,-3.934607038,-9.059767513
2024.02.08,45,5.7,6.6,325.4,204,2.05,0.54491,-4.193396117,-9.655651389
2024.02.08,40,5.6,6.7,338.6,204,2.73,0.55818,-4.068987331,-9.369189573
2024.02.08,35,5.6,6.69,343.7,204,3.25,0.56328,-3.993266617,-9.194836185
2024.02.08,30,5.6,6.73,345.2,204,3.36,0.56478,-3.978810701,-9.161550208
2024.02.08,25,5.6,6.73,348.4,204,3.64,0.56798,-3.944048595,-9.0815075
2024.02.08,20,5.6,6.73,353.2,204,4.11,0.57278,-3.891308156,-8.960068153
2024.02.08,15,5.6,6.71,355.8,204,4.04,0.57538,-3.898768613,-8.97724649
2024.02.08,10,5.6,6.7,364.4,203,4.06,0.58398,-3.896623945,-8.972308208
2024.02.08,5,5.7,6.68,368.4,203,4.18,0.58791,-3.883973697,-8.943179935
2024.02.14,B,7,6.69,322.9,211,0.88,0.5415,-4.560667306,-10.50132455
2024.02.14,S,7.8,6.93,334.2,199,3.81,0.55224,-3.924225003,-9.035861993
2024.02.20,B,10.1,6.63,186.8,209,0.07,0.40323,-5.660051938,-13.03275122
2024.02.20,S,11.9,7.09,340.7,195.7,6.34,0.55587,-3.70306072,-8.526612413
2024.02.28,B,7,6.87,295.9,175.9,1.36,0.5145,-4.37161107,-10.06600648
2024.02.28,S,7.1,6.75,358.6,174.7,3.52,0.57713,-3.958607315,-9.115030192
2024.03.06,B,7.4,6.02,340.1,158,1.15,0.55842,-4.444452138,-10.23372924
2024.03.06,S,7.4,6.85,355.7,143.3,4.15,0.57402,-3.887101882,-8.950382848
2024.03.08,40,7.4,6.57,294.4,163.9,0.8,0.51272,-4.602059991,-10.59663473
2024.03.08,35,7.4,6.57,344.6,163,0.79,0.56292,-4.607522887,-10.60921352
2024.03.08,30,7.4,6.58,351.9,163.5,0.9,0.57022,-4.550907469,-10.4788517
2024.03.08,25,7.4,6.62,355.7,162.5,1.75,0.57402,-4.26211193,-9.813875394
2024.03.08,20,7.4,6.64,359,162.4,2.3,0.57732,-4.143422142,-9.540582059
2024.03.08,15,7.5,6.65,358.7,162.3,2.82,0.57695,-4.05490087,-9.336754297
2024.03.08,10,7.6,6.68,361,162.1,4.07,0.57918,-3.895555569,-8.969848182
2024.03.08,5,7.9,6.67,363.1,161.4,4.3,0.58107,-3.871681523,-8.914876159
2024.03.13,B,7.8,7.04,243,167.5,1.2,0.46104,-4.425968732,-10.19116962
2024.03.13,S,7.9,7.35,346.2,140.9,4.35,0.56417,-3.866660721,-8.903315337
2024.03.21,B,6.4,6.78,333.2,159.4,0,0.55222,ND,ND
2024.03.21,S,6.2,6.85,356.7,157.8,1.87,0.57586,-4.233308372,-9.747552751
2024.03.27,B,9.5,6.54,196.8,141.2,0.62,0.41365,-4.712758289,-10.85152698
2024.03.27,S,10.5,6.61,338.6,91.1,4.05,0.55475,-3.897694955,-8.974774301
2024.03.30,45,11.1,6.53,30.5,153.7,0,0.24623,ND,ND
2024.03.30,40,11.2,6.53,52.9,150.1,0,0.26856,ND,ND
2024.03.30,35,11.3,6.53,66.9,139.3,0,0.28249,ND,ND
2024.03.30,30,11.4,6.55,87.6,133.7,0.01,0.30312,-6.505149978,-14.97866137
2024.03.30,25,11.8,6.6,320.2,122.2,0.58,0.53544,-4.741721985,-10.91821836
2024.03.30,20,12.2,6.63,334.1,106.5,2.02,0.54906,-4.199798609,-9.67039367
2024.03.30,15,12.4,6.64,336.6,100.1,3.08,0.55142,-4.016599262,-9.248561585
2024.03.30,10,13,6.62,340.8,94,4.5,0.5552,-3.851937465,-8.869413785
2024.03.30,5,13.6,6.63,331.1,94.1,3.87,0.54508,-3.917439013,-9.020236675
